Tab. 102 Obce České republiky k 1. 1. 2019;;;;;;;;;;;;;;Souhrn
;;;;;;;;;;;;;;
"Kód
okresu";"Kód
SOORP";Název obce;"Kód
obce";Typ obce;"Správní obvod obce
s rozšířenou působností";"Počet
částí
obce";"Počet
katas-
trů";"Katastr.
výměra
v ha";Počet obyvatel;;;Počet dokončených bytů;;Stavební úřad
;;;;;;;;;celkem;"ve věku
0 - 14 let";"ve věku
65 a více let";2009-2013;2014-2018;
CZ0202;2102;Nový Jáchymov;531600;obec;Beroun;1;1;497;696;121;136;9;14;Králův Dvůr
CZ0202;2108;Olešná;531626;obec;Hořovice;1;1;1 068;433;60;91;5;10;Hořovice
CZ0202;2108;Osek;531634;obec;Hořovice;1;1;497;797;122;163;20;9;Hořovice
CZ0202;2108;Osov;531642;obec;Hořovice;2;1;245;328;37;62;2;0;Hostomice
CZ0202;2108;Otmíče;534111;obec;Hořovice;1;1;262;180;33;29;1;5;Hořovice
CZ0202;2102;Otročiněves;531669;obec;Beroun;1;1;426;529;80;99;7;4;Králův Dvůr
CZ0202;2102;Podbrdy;534285;obec;Beroun;1;1;378;214;33;36;6;7;Hostomice
CZ0202;2108;Podluhy;531685;obec;Hořovice;1;2;1 674;674;107;162;12;10;Hořovice
CZ0202;2108;Praskolesy;531693;obec;Hořovice;1;1;510;909;151;171;7;9;Hořovice
CZ0202;2108;Rpety;531715;obec;Hořovice;1;1;593;487;69;85;9;6;Hořovice
CZ0202;2108;Skřipel;533963;obec;Hořovice;1;1;305;129;20;28;0;1;Hostomice
CZ0202;2102;Skuhrov;531740;obec;Beroun;5;2;868;533;113;81;24;18;Králův Dvůr
CZ0202;2102;Srbsko;531758;obec;Beroun;1;1;656;557;109;100;11;5;Beroun
CZ0202;2102;Stašov;531766;obec;Beroun;1;1;233;443;82;77;7;6;Zdice
CZ0202;2102;Suchomasty;531782;obec;Beroun;2;1;726;478;69;93;0;6;Králův Dvůr
CZ0202;2102;Svatá;531791;obec;Beroun;1;1;550;515;84;105;7;16;Králův Dvůr
CZ0202;2102;Svatý Jan pod Skalou;531804;obec;Beroun;3;1;406;176;38;29;10;3;Beroun
CZ0202;2102;Svinaře;531812;obec;Beroun;3;1;747;783;186;114;56;48;Beroun
CZ0202;2102;Tetín;531839;obec;Beroun;2;1;1 029;872;140;160;24;5;Beroun
CZ0202;2108;Tlustice;531847;obec;Hořovice;1;1;409;1 019;145;192;16;14;Hořovice
CZ0202;2102;Tmaň;531855;obec;Beroun;3;2;1 009;1 212;240;197;30;31;Králův Dvůr
CZ0202;2108;Točník;534463;obec;Hořovice;1;1;538;239;35;51;1;1;Žebrák
CZ0202;2102;Trubín;533106;obec;Beroun;1;1;372;478;85;42;26;48;Králův Dvůr
CZ0202;2102;Trubská;531880;obec;Beroun;1;1;185;186;31;29;7;7;Králův Dvůr
CZ0202;2108;Újezd;531901;obec;Hořovice;1;1;1 041;650;101;136;18;12;Hořovice
CZ0202;2108;Velký Chlumec;531910;obec;Hořovice;2;1;453;416;62;79;8;6;Hostomice
CZ0202;2102;Vinařice;534234;obec;Beroun;1;1;495;103;19;28;0;3;Králův Dvůr
CZ0202;2108;Vižina;534048;obec;Hořovice;1;1;388;269;47;49;4;5;Hostomice
CZ0202;2102;Vráž;531944;obec;Beroun;1;1;631;1 182;197;234;24;22;Beroun
CZ0202;2102;Všeradice;531952;obec;Beroun;1;1;737;441;77;72;9;7;Hostomice
CZ0202;2102;Vysoký Újezd;531961;obec;Beroun;3;3;1 155;869;173;124;46;124;Beroun
CZ0202;2102;Zadní Třebaň;531979;obec;Beroun;1;1;357;885;172;175;16;14;Beroun
CZ0202;2108;Zaječov;531995;obec;Hořovice;3;3;2 225;1 433;219;297;17;16;Hořovice
CZ0202;2108;Záluží;532002;obec;Hořovice;1;1;456;531;76;96;1;2;Hořovice
CZ0202;2102;Zdice;532011;město;Beroun;3;3;1 381;4 179;645;882;20;28;Zdice
CZ0202;2108;Žebrák;532029;město;Hořovice;2;2;851;2 181;309;455;29;40;Žebrák
CZ0202;2102;Železná;599417;obec;Beroun;1;1;401;278;59;34;6;2;Beroun
CZ0203;2109;Běleč;535010;obec;Kladno;1;1;1 847;326;52;66;6;3;Kladno
CZ0203;2109;Běloky;532070;obec;Kladno;1;1;222;184;30;34;2;6;Kladno
CZ0203;2124;Beřovice;532088;obec;Slaný;2;2;570;378;70;54;5;3;Zlonice
CZ0203;2124;Bílichov;535125;obec;Slaný;1;1;1 221;191;34;40;2;1;Slaný
CZ0203;2109;Blevice;532100;obec;Kladno;1;1;425;284;40;61;0;2;Kladno
CZ0203;2109;Brandýsek;532118;obec;Kladno;2;1;390;1 950;352;338;42;50;Kladno
CZ0203;2109;Braškov;532126;obec;Kladno;1;1;477;1 071;182;216;17;20;Unhošť
CZ0203;2109;Bratronice;532142;obec;Kladno;2;2;1 563;922;152;178;15;12;Kladno
CZ0203;2109;Buštěhrad;532169;město;Kladno;1;1;761;3 464;760;507;156;157;Kladno
CZ0203;2109;Cvrčovice;532185;obec;Kladno;1;1;249;752;148;141;19;13;Kladno
CZ0203;2124;Černuc;532207;obec;Slaný;4;4;2 120;985;171;177;12;7;Velvary
CZ0203;2109;Doksy;532223;obec;Kladno;1;1;291;1 662;333;302;65;67;Kladno
CZ0203;2109;Dolany;513130;obec;Kladno;1;1;300;300;53;45;4;9;Kladno
CZ0203;2124;Drnek;512991;obec;Slaný;1;1;520;172;28;45;5;6;Slaný
CZ0203;2109;Družec;532274;obec;Kladno;1;1;712;1 064;174;231;17;8;Kladno
CZ0203;2109;Dřetovice;532282;obec;Kladno;1;1;539;472;86;74;6;4;Kladno
CZ0203;2124;Dřínov;532291;obec;Slaný;2;2;652;325;64;53;8;3;Zlonice
CZ0203;2124;Hobšovice;513075;obec;Slaný;2;2;989;370;62;48;7;3;Velvary
CZ0203;2109;Horní Bezděkov;532312;obec;Kladno;1;1;458;658;112;134;23;22;Unhošť
CZ0203;2124;Hořešovice;532321;obec;Slaný;1;1;436;259;35;37;0;1;Slaný
CZ0203;2124;Hořešovičky;535150;obec;Slaný;1;1;371;137;32;29;1;1;Slaný
CZ0203;2124;Hospozín;532339;obec;Slaný;2;1;807;527;87;81;3;2;Velvary
CZ0203;2109;Hostouň;532347;obec;Kladno;1;1;1 034;1 217;218;195;53;84;Kladno
CZ0203;2109;Hradečno;532355;obec;Kladno;3;1;684;490;69;94;15;7;Slaný
CZ0203;2124;Hrdlív;532363;obec;Slaný;1;1;170;498;80;89;19;14;Slaný
CZ0203;2109;Hřebeč;532371;obec;Kladno;2;1;422;2 069;407;282;118;73;Kladno
CZ0203;2124;Chržín;532398;obec;Slaný;3;3;871;248;47;29;3;6;Velvary
CZ0203;2124;Jarpice;532401;obec;Slaný;2;1;710;294;54;56;2;1;Zlonice
CZ0203;2124;Jedomělice;532410;obec;Slaný;1;1;705;407;69;68;14;5;Slaný
CZ0203;2124;Jemníky;532428;obec;Slaný;1;1;288;284;51;46;2;3;Slaný
CZ0203;2109;Kačice;532444;obec;Kladno;1;1;643;1 224;178;247;10;15;Stochov
CZ0203;2109;Kamenné Žehrovice;532452;obec;Kladno;1;1;916;1 724;243;364;13;6;Kladno
CZ0203;2124;Kamenný Most;513032;obec;Slaný;1;1;328;427;63;63;2;2;Velvary
CZ0203;2109;KLADNO;532053;statutarní město;Kladno;6;7;3 697;69 054;10 994;13 722;509;894;Kladno
CZ0203;2124;Klobuky;532461;obec;Slaný;5;5;1 587;1 009;165;198;10;6;Zlonice
CZ0203;2124;Kmetiněves;532479;obec;Slaný;1;1;683;298;54;41;4;3;Velvary
CZ0203;2124;Knovíz;532487;obec;Slaný;1;1;423;566;89;99;4;3;Slaný
CZ0203;2109;Koleč;532495;obec;Kladno;3;1;524;582;97;109;4;4;Kladno
CZ0203;2124;Královice;535109;obec;Slaný;1;1;363;228;49;37;28;12;Zlonice
CZ0203;2124;Kutrovice;571512;obec;Slaný;1;1;149;110;19;20;7;0;Slaný
CZ0203;2124;Kvílice;532517;obec;Slaný;1;1;195;79;13;18;0;2;Slaný
CZ0203;2109;Kyšice;532525;obec;Kladno;1;1;480;627;95;117;7;10;Unhošť
CZ0203;2109;Lány;541991;obec;Kladno;2;2;3 401;2 196;424;396;49;58;Nové Strašecí
CZ0203;2124;Ledce;532533;obec;Slaný;1;1;551;515;74;100;10;8;Slaný
CZ0203;2109;Lhota;513041;obec;Kladno;1;1;1 170;646;132;136;12;10;Kladno
CZ0203;2109;Libochovičky;564150;obec;Kladno;1;1;234;64;14;2;0;1;Kladno
CZ0203;2124;Libovice;571601;obec;Slaný;1;1;610;369;79;51;4;3;Slaný
CZ0203;2109;Libušín;532576;město;Kladno;1;1;948;3 346;666;510;48;70;Kladno
CZ0203;2109;Lidice;532584;obec;Kladno;1;1;475;581;108;151;16;21;Kladno
CZ0203;2124;Líský;571555;obec;Slaný;1;1;240;110;24;31;0;1;Slaný
CZ0203;2124;Loucká;535095;obec;Slaný;1;1;216;136;25;20;2;3;Velvary
CZ0203;2109;Makotřasy;532622;obec;Kladno;1;1;433;471;94;74;14;31;Kladno
CZ0203;2109;Malé Kyšice;532631;obec;Kladno;1;1;419;495;98;85;13;11;Unhošť
CZ0203;2109;Malé Přítočno;513113;obec;Kladno;1;1;185;240;31;54;0;3;Kladno
CZ0203;2124;Malíkovice;532657;obec;Slaný;3;1;625;395;54;80;2;3;Slaný
CZ0203;2124;Neprobylice;571521;obec;Slaný;1;1;344;166;29;21;7;2;Slaný
CZ0203;2124;Neuměřice;532665;obec;Slaný;1;1;566;436;72;83;9;1;Velvary
CZ0203;2109;Otvovice;532681;obec;Kladno;1;1;617;818;147;190;71;20;Kladno
CZ0203;2124;Páleč;564192;obec;Slaný;1;1;553;214;40;28;1;2;Zlonice
CZ0203;2109;Pavlov;532711;obec;Kladno;1;1;156;191;30;26;2;7;Unhošť
CZ0203;2109;Pchery;532720;obec;Kladno;2;1;675;1 932;318;367;22;18;Kladno
CZ0203;2109;Pletený Újezd;532738;obec;Kladno;1;1;168;557;99;103;12;24;Unhošť
CZ0203;2124;Plchov;564125;obec;Slaný;1;1;402;192;24;39;3;0;Slaný
CZ0203;2124;Podlešín;532754;obec;Slaný;1;1;420;323;56;55;1;4;Slaný
CZ0203;2124;Poštovice;564087;obec;Slaný;1;1;470;218;27;51;5;0;Velvary
CZ0203;2124;Pozdeň;532762;obec;Slaný;2;2;1 185;455;69;76;1;2;Slaný
